id,genre,unique_id
82,Action,82%Action
83,Drama,83%Drama
83,Action,83%Action
83,Romance,83%Romance
83,Sci-Fi,83%Sci-Fi
84,Romance,84%Romance
84,Adventure,84%Adventure
84,Drama,84%Drama
84,Action,84%Action
84,Sci-Fi,84%Sci-Fi
85,Romance,85%Romance
85,Action,85%Action
85,Drama,85%Drama
85,Sci-Fi,85%Sci-Fi
86,Comedy,86%Comedy
86,Drama,86%Drama
86,Action,86%Action
86,Sci-Fi,86%Sci-Fi
87,Action,87%Action
87,Sci-Fi,87%Sci-Fi
87,Drama,87%Drama
88,Sci-Fi,88%Sci-Fi
88,Drama,88%Drama
88,Action,88%Action
89,Drama,89%Drama
89,Action,89%Action
89,Sci-Fi,89%Sci-Fi
90,Sci-Fi,90%Sci-Fi
90,Action,90%Action
90,Drama,90%Drama
91,Action,91%Action
91,Sci-Fi,91%Sci-Fi
91,Drama,91%Drama
92,Drama,92%Drama
92,Adventure,92%Adventure
92,Action,92%Action
92,Sci-Fi,92%Sci-Fi
93,Action,93%Action
93,Sci-Fi,93%Sci-Fi
93,Drama,93%Drama
93,Romance,93%Romance
94,Drama,94%Drama
94,Action,94%Action
94,Sci-Fi,94%Sci-Fi
94,Romance,94%Romance
95,Action,95%Action
95,Sci-Fi,95%Sci-Fi
95,Romance,95%Romance
95,Drama,95%Drama
95,Adventure,95%Adventure
96,Comedy,96%Comedy
96,Sci-Fi,96%Sci-Fi
96,Action,96%Action
96,Drama,96%Drama
96,Romance,96%Romance
96,Adventure,96%Adventure
97,Adventure,97%Adventure
97,Sci-Fi,97%Sci-Fi
97,Action,97%Action
98,Comedy,98%Comedy
98,Romance,98%Romance
98,Fantasy,98%Fantasy
98,Action,98%Action
98,Children,98%Children
98,Drama,98%Drama
99,Comedy,99%Comedy
99,Drama,99%Drama
99,Fantasy,99%Fantasy
100,Action,100%Action
100,Drama,100%Drama
100,Fantasy,100%Fantasy
100,Comedy,100%Comedy
100,Romance,100%Romance
101,Fantasy,101%Fantasy
101,Drama,101%Drama
101,Romance,101%Romance
102,Romance,102%Romance
102,Comedy,102%Comedy
102,Drama,102%Drama
103,Romance,103%Romance
103,Adventure,103%Adventure
103,Fantasy,103%Fantasy
103,Comedy,103%Comedy
103,Drama,103%Drama
104,Adventure,104%Adventure
104,Drama,104%Drama
104,Thriller,104%Thriller
104,Romance,104%Romance
104,Fantasy,104%Fantasy
104,Comedy,104%Comedy
104,Horror,104%Horror
105,Romance,105%Romance
105,Comedy,105%Comedy
105,Action,105%Action
106,Drama,106%Drama
106,Romance,106%Romance
106,Children,106%Children
107,Comedy,107%Comedy
107,Adventure,107%Adventure
107,Fantasy,107%Fantasy
107,Action,107%Action
107,Sci-Fi,107%Sci-Fi
108,Fantasy,108%Fantasy
108,Adventure,108%Adventure
108,Thriller,108%Thriller
108,Action,108%Action
108,Comedy,108%Comedy
109,Action,109%Action
109,Adventure,109%Adventure
109,Sci-Fi,109%Sci-Fi
109,Comedy,109%Comedy
110,Action,110%Action
110,Comedy,110%Comedy
110,Drama,110%Drama
111,Sci-Fi,111%Sci-Fi
111,Fantasy,111%Fantasy
111,Adventure,111%Adventure
111,Comedy,111%Comedy
112,Fantasy,112%Fantasy
112,Romance,112%Romance
112,Action,112%Action
112,Sci-Fi,112%Sci-Fi
112,Comedy,112%Comedy
112,Adventure,112%Adventure
113,Action,113%Action
113,Sci-Fi,113%Sci-Fi
113,Romance,113%Romance
114,Children,114%Children
114,Action,114%Action
114,Comedy,114%Comedy
115,Adventure,115%Adventure
115,Comedy,115%Comedy
115,Fantasy,115%Fantasy
116,Fantasy,116%Fantasy
116,Comedy,116%Comedy
116,Romance,116%Romance
116,Adventure,116%Adventure
117,Adventure,117%Adventure
117,Romance,117%Romance
117,Comedy,117%Comedy
117,Fantasy,117%Fantasy
118,Comedy,118%Comedy
118,Adventure,118%Adventure
118,Fantasy,118%Fantasy
119,Romance,119%Romance
119,Drama,119%Drama
119,Comedy,119%Comedy
120,Romance,120%Romance
120,Drama,120%Drama
120,Comedy,120%Comedy
120,Fantasy,120%Fantasy
121,Action,121%Action
121,Adventure,121%Adventure
121,Comedy,121%Comedy
121,Drama,121%Drama
121,Fantasy,121%Fantasy
122,Fantasy,122%Fantasy
122,Drama,122%Drama
122,Romance,122%Romance
122,Musical,122%Musical
122,Comedy,122%Comedy
123,Romance,123%Romance
123,Action,123%Action
123,Drama,123%Drama
123,Fantasy,123%Fantasy
123,Comedy,123%Comedy
123,Historical,123%Historical
123,Adventure,123%Adventure
124,Romance,124%Romance
124,Drama,124%Drama
124,Fantasy,124%Fantasy
124,Adventure,124%Adventure
125,Comedy,125%Comedy
125,Romance,125%Romance
125,Children,125%Children
126,Comedy,126%Comedy
126,Romance,126%Romance
126,Drama,126%Drama
127,Action,127%Action
127,Sci-Fi,127%Sci-Fi
127,Comedy,127%Comedy
127,Fantasy,127%Fantasy
128,Drama,128%Drama
128,Action,128%Action
128,Sci-Fi,128%Sci-Fi
129,Fantasy,129%Fantasy
129,Drama,129%Drama
129,Adventure,129%Adventure
129,Action,129%Action
129,Comedy,129%Comedy
130,Romance,130%Romance
130,Drama,130%Drama
130,Comedy,130%Comedy
130,Adventure,130%Adventure
130,Fantasy,130%Fantasy
130,Action,130%Action
131,Action,131%Action
131,Drama,131%Drama
131,Adventure,131%Adventure
131,Comedy,131%Comedy
131,Romance,131%Romance
131,Fantasy,131%Fantasy
132,Drama,132%Drama
132,Action,132%Action
132,Comedy,132%Comedy
132,Fantasy,132%Fantasy
132,Mystery,132%Mystery
133,Children,133%Children
133,Romance,133%Romance
133,Comedy,133%Comedy
134,Action,134%Action
134,Thriller,134%Thriller
134,Sci-Fi,134%Sci-Fi
134,Drama,134%Drama
135,Action,135%Action
135,Fantasy,135%Fantasy
135,Comedy,135%Comedy
136,Adventure,136%Adventure
136,Action,136%Action
136,Fantasy,136%Fantasy
137,Action,137%Action
137,Adventure,137%Adventure
138,Action,138%Action
138,Fantasy,138%Fantasy
138,Adventure,138%Adventure
139,Action,139%Action
139,Fantasy,139%Fantasy
139,Adventure,139%Adventure
141,Action,141%Action
141,Sci-Fi,141%Sci-Fi
142,Fantasy,142%Fantasy
142,Adventure,142%Adventure
142,Drama,142%Drama
142,Mystery,142%Mystery
142,Romance,142%Romance
